,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
18161,9639,"Florence Isabel ""Jane"" Bell (-Walker, -Doane)",F,17.0,169.0,58.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
19162,10142,"James Randolph ""Jamie"" Benn",M,24.0,189.0,94.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19291,10216,"Robert John ""Bobby"" Benson",M,25.0,167.0,61.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19878,10472,Patrice Bergeron-Cleary,M,24.0,188.0,88.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
19879,10472,Patrice Bergeron-Cleary,M,28.0,188.0,88.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
20380,10751,Sylvie Bernier,F,20.0,157.0,53.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Springboard,Gold
20937,11047,"Janice ""Jan"" Betker",F,37.0,167.0,64.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
21847,11537,"Alexandre ""Alex"" Bilodeau",M,22.0,173.0,76.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
21848,11537,"Alexandre ""Alex"" Bilodeau",M,26.0,173.0,76.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
22987,12083,"Robert Bowlby ""Rob"" Blake",M,32.0,193.0,102.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
25224,13200,Tessa Bonhomme,F,24.0,170.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26647,13870,Jennifer Lori Botterill,F,22.0,175.0,71.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26648,13870,Jennifer Lori Botterill,F,26.0,175.0,71.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26649,13870,Jennifer Lori Botterill,F,30.0,175.0,71.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
26778,13935,Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
26779,13935,Gatan T. Boucher,M,25.0,171.0,72.0,Canada,CAN,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
27377,14210,Jay Daniel Bouwmeester,M,30.0,193.0,95.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
27685,14368,"Daniel Denis ""Dan"" Boyle",M,33.0,180.0,86.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
28363,14713,Jean-Luc Brassard,M,21.0,173.0,71.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
